INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230401_170400.wav,599.846,2023-04-01,17:04:00,17,2023-04-01,05:04:00,5,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,bSCOoWwzpRXCO4Y2CHtsQA==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230407_032302.wav,597.844,2023-04-07,03:23:02,3,2023-04-06,15:23:02,15,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,O2j1+NaILugiFM2mTTu7UA==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230407_073402.wav,597.844,2023-04-07,07:34:02,7,2023-04-06,19:34:02,19,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,ne3wuwvz0W1PXp/8k0dpKw==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230401_042202.wav,597.844,2023-04-01,04:22:02,4,2023-03-31,16:22:02,16,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,BLlfe2tNudMz1k64C232Wg==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230319_171002.wav,597.844,2023-03-19,17:10:02,17,2023-03-19,05:10:02,5,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,HvbG6DGhoGdxrDwMIm8Etw==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230314_194002.wav,597.844,2023-03-14,19:40:02,19,2023-03-14,07:40:02,7,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,/Fm6VRh1rFb131H9GsLWGA==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230325_070902.wav,597.844,2023-03-25,07:09:02,7,2023-03-24,19:09:02,19,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,/0ROfOBiN2h1smNHmGF+AQ==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230320_054002.wav,597.844,2023-03-20,05:40:02,5,2023-03-19,17:40:02,17,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,GSfNTOwbeZ7HkNTRKW2InQ==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230401_171402.wav,597.844,2023-04-01,17:14:02,17,2023-04-01,05:14:02,5,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,+2ovX19rPsCDjOTsgdFBVg==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230407_074402.wav,297.917,2023-04-07,07:44:02,7,2023-04-06,19:44:02,19,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,+q8HQdlTzu+2hsHSfLAt6Q==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230407_033302.wav,597.844,2023-04-07,03:33:02,3,2023-04-06,15:33:02,15,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,m+sm9EP6ch12H4ssCubL/A==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230401_043202.wav,597.844,2023-04-01,04:32:02,4,2023-03-31,16:32:02,16,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,nLlVeKyDXYAd8qHTBek5Cg==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230319_172002.wav,597.844,2023-03-19,17:20:02,17,2023-03-19,05:20:02,5,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,U8bAa+zzAHYR6TYvL7XfCg==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230401_172402.wav,597.844,2023-04-01,17:24:02,17,2023-04-01,05:24:02,5,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,sjA4MULu8jK60I7aElA71Q==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230325_071902.wav,597.844,2023-03-25,07:19:02,7,2023-03-24,19:19:02,19,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,qClp4gh+xEWieay5gaqYLg==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230320_055002.wav,597.844,2023-03-20,05:50:02,5,2023-03-19,17:50:02,17,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,wuIv9S5lPPvVy2daTj2Q/A==
